,open,high,low,close,volume,marketCap,date
193,2.0264399052,2.454859972,2.0264399052,2.3658399582,1457120,76922589.1331,2017-11-27
194,2.3725199699,2.387720108,2.1344399452,2.2230899334,783917,72302743.4215,2017-11-28
195,2.2204399109,2.3365499973,1.7273600101,1.7992500067,760301,58517968.7287,2017-11-29
196,1.8236900568,1.927670002,1.6191699505,1.8059500456,490782,58742498.9703,2017-11-30
197,1.7993500233,2.1893401146,1.6969000101,2.1468999386,685523,69832648.2125,2017-12-01
198,2.1452798843,2.1557099819,1.9772100449,2.0441598892,526706,66490803.5633,2017-12-02
199,2.0402901173,2.2570800781,1.9238100052,2.0467898846,598348,66576350.1024,2017-12-03
200,2.0605299473,2.2427799702,2.0057599545,2.2413599491,590453,72905167.6359,2017-12-04
201,2.2388300896,2.3895800114,2.1842799187,2.2248899937,947807,72369444.6325,2017-12-05
202,2.2199699879,2.4542000294,1.9447799921,2.1340899467,1804040,69415974.7654,2017-12-06
203,2.1295499802,2.1676700115,1.8271499872,1.9048299789,984717,61958788.6229,2017-12-07
204,1.8931200504,2.0297899246,1.6689399481,1.9566700459,773768,63576021.1959,2017-12-08
205,2.0087199211,2.104279995,1.8616299629,2.0205199718,792752,65650632.1182,2017-12-09
206,2.0178799629,2.0333900452,1.7225300074,1.8931599855,626556,61512457.5361,2017-12-10
207,1.8583300114,2.1979498863,1.852339983,2.1309199333,1290950,69105848.149,2017-12-11
208,2.1351599693,2.6446099281,2.0389800072,2.4916698933,2131230,80804989.7027,2017-12-12
209,2.489470005,2.8857901096,2.2789599895,2.7369298935,1731580,88758784.4566,2017-12-13
210,2.7310600281,2.8738000393,2.4751799107,2.5862600803,1488340,83666692.8801,2017-12-14
211,2.5825400352,2.6274499893,2.3167200089,2.5337500572,1226100,81967970.3839,2017-12-15
212,2.5369598866,2.6327199936,2.4199399948,2.5414199829,1047860,82216098.3889,2017-12-16
213,2.5640699863,2.8202199936,2.5454900265,2.6770401001,1702240,86335764.3021,2017-12-17
214,2.680079937,3.3857500553,2.5461299419,3.260420084,2569300,105150036.102,2017-12-18
215,3.2321400642,3.6952300072,3.0951800346,3.2802500725,3547700,105789562.671,2017-12-19
216,3.3235499859,3.6740500927,2.924020052,3.5090100765,2199840,113167177.29,2017-12-20
217,3.4402599335,3.9421100616,3.3262500763,3.5347399712,2138150,113996981.558,2017-12-21
218,3.5459499359,3.5744400024,2.2177801132,2.87135005,1230300,92602350.6667,2017-12-22
219,2.8956999779,3.6514999866,2.8956999779,3.3188800812,1253340,107035397.838,2017-12-23
220,3.3557100296,3.8374400139,2.8266899586,3.7940199375,2585130,122358880.135,2017-12-24
221,3.8413000107,4.2186799049,3.6535999775,4.0702800751,2435090,131268391.478,2017-12-25
222,3.9974799156,4.2813000679,3.3981199265,3.7526400089,2109130,121024356.211,2017-12-26
223,3.7550001144,3.8296999931,3.4271800518,3.8269600868,1444870,123421210.2,2017-12-27
224,3.8558700085,4.0039901733,3.1266999245,3.6833600998,1857820,118796389.372,2017-12-28
225,3.7042000294,4.0505299568,3.5235199928,3.950740099,1491210,127419977.235,2017-12-29
226,3.79343009,3.9111299515,3.0118300915,3.4478399754,1309030,111200355.961,2017-12-30
227,3.4002299309,4.0169100761,3.3204700947,3.8890299797,1516050,125429695.213,2017-12-31
228,3.833450079,4.2953901291,3.468100071,4.2736501694,2137650,137834528.648,2018-01-01
229,4.2881698608,5.3603701591,4.1137099266,4.6051402092,3763910,148525803.764,2018-01-02
